X1;X2;X3;X4;X5;X6;Y
308000;134712;62656;8883.48;69143.82;21;0
280500;49500;52500;37312.51;449021.7;0;1
357500;22000;22000;8184.71;112876.29;0;0
264000;49500;52500;16409.8;167801.53;0;0
1717837;63705;49500;391712.54;5239887.29;0;0
401500;27500;30500;10191.16;219647.93;0;0
374000;49500;52500;27217.08;238761.47;0;0
1775034;66000;72000;486537.41;3190039.59;0;0
352000;0;0;16160.5;140308.84;0;0
272800;69300;69300;3708.51;35630.16;0;0
309945;60590;66000;1820.57;21652.84;0;0
209000;38459;0;6294.29;90298.64;6;0
264000;49500;52500;1810.49;44464.98;0;0
240718;10084;0;2337.91;62809.01;0;1
621500;55000;60000;9104.87;155137.22;0;0
357500;22000;25000;8637.31;158223.17;0;0
316800;67100;75900;16798.4;287834.83;2;0
616000;55000;58000;27936.64;567174.98;0;0
341000;22000;0;1321.18;23393.91;4;0
324500;33000;36000;22263.21;260329.2;0;0
335500;27500;30500;10672.23;170411.23;0;0
335500;27500;30500;15859.67;103853.9;0;0
335500;27500;44000;9448.07;178314.51;0;0
594000;31570;34570;22188.86;379349.19;0;0
434500;22000;0;15012.25;360434.86;0;0
302500;35860;0;5466.97;56156.58;0;1
227152;48306;0;6366.2;95222.86;0;0
264000;49500;63750;11553.42;114137.3;0;0
324500;33000;36000;1995.36;30770.75;0;0
514068;0;0;16048.35;124271.42;0;0
368500;49500;60156;28068.85;404160.76;0;1
264000;49500;0;9983.32;178148.24;0;0
330000;33000;49500;10273.4;227003.78;0;1
55000;99303;151781;3485.79;22972.31;8;0
346500;0;0;5633.82;151235.58;0;0
459800;0;0;11559.55;212716.41;0;0
390500;0;0;3804.11;81073.28;0;1
397102;51972;55000;34890.4;524611.85;0;0
434500;27500;30500;20953.57;405823.17;0;1
344300;27500;0;16878.49;411312.35;0;1
313317;0;0;6427.27;104913.99;0;0
209000;11000;0;26178.61;222424.12;0;1
225500;55000;0;8189.99;48276.24;0;0
300000;75870;64748;7534.07;107278.89;5;0
205000;33464;32600;3735.08;20262.85;3;0
305000;25000;25000;22347.36;353552.71;0;0
195000;50000;50000;42037.17;278912.65;0;0
311501;20000;20000;14913.57;244478.26;0;0
365000;216533;218870;3893.02;40169.66;272;0
375000;60000;60000;2515.77;37366.8;0;0
350000;50000;0;5886.15;38859.43;0;0
405000;50000;0;7081.68;45361.55;0;0
380000;96166;40000;7025;101311.62;12;0
250000;0;0;2611.69;32590.82;0;0
115000;50000;50000;1669.03;12653.43;0;0
185000;55000;0;4374.75;39375.29;0;0
115000;135615;66230;1207.3;10960.42;27;0
300000;138000;138000;39735.15;334362.33;0;1
600000;393102;388024;98745.71;207575.97;86;0
356168;20000;0;3157.6;66185.8;0;0
240000;0;0;3531.13;14353.7;0;0
274668;50000;50000;17037;95608;0;1
270000;138000;138000;13408.53;135261.83;0;0
100000;48617;45308;42351.52;85724.86;3;0
220000;104552;0;4875.29;63195.74;166;1
0;0;0;27805.26;398909.41;0;0
310000;50000;50000;15366.9;238420.42;0;0
470000;60000;58626;65010.18;576556.13;0;0
307999;60000;64500;7597.38;81177.63;9;0
235000;40000;40000;24248.06;331569.67;0;0
271668;60000;63000;12068.5;333598.54;0;0
333501;35912;33000;21463.04;107015.21;0;0
280000;30000;33000;20861.11;344609.29;0;0
300000;45311;36900;22717.02;136514.05;22;0
310000;20000;20000;5361.04;86792.05;0;0
340000;45000;48000;13597.71;247469.76;0;0
280000;30000;0;3950.99;79258.35;0;1
0;25000;25000;11793.43;163856.11;0;0
315000;0;0;21431.23;260865.34;0;0
240000;45000;0;5705.92;50994.58;0;0
240000;45000;48000;19458.62;335847.56;0;0
416500;22500;0;14304.47;97582.68;0;0
430193;23629;18081;23196.52;270529.67;0;1
300500;0;0;5592.05;67722.1;0;1
405000;20000;20000;12108.04;160783.4;0;0
450000;66713;0;3699.17;80556.75;16;0
360000;50000;50000;2978.52;95229.11;0;0
280000;30000;33000;13094.29;262493.9;0;0
282667;0;0;6623.8;192091.34;0;0
284667;0;0;6338.29;277441.57;0;0
240000;45000;0;7855.81;119914.16;0;0
1035000;15000;15000;44021.9;1486731.92;0;1
329710;0;0;7889.43;114587.28;0;0
418000;0;0;2013.77;30861.37;0;1
270000;50000;0;4991.65;100239.5;0;0
240000;45000;0;21656.08;447937.86;0;0
375000;86626;89788;9344.33;178565.05;4;0
100000;35000;0;4181.56;49622.16;0;0
300000;30000;30000;7656.64;121672.61;0;0
240000;45000;0;4275.32;90554.54;7;0
580000;50000;0;16586.73;433668.36;0;0
330000;53000;0;7603.26;106862.43;11;0
305000;20259;26213;8855.05;172196.02;25;0
430000;50000;50000;30414.92;350792.69;0;0
410000;50000;50000;4068.45;65820.8;0;0
250000;0;0;13931.05;172763.48;0;0
310000;20000;20000;8325.06;258528.77;0;0
250000;0;0;3563.7;90944.01;0;1
273167;60000;120000;4557.06;128797.39;0;1
625000;0;0;44059.7;411728.22;0;0
243334;45308;45000;8187.13;248890.36;1;1
370000;63461;78397;6624.28;109493.23;19;0
50000;40269;0;1219.49;12325.12;6;0
270000;60000;63000;22595.33;275667.53;0;0
240000;45000;48000;5607.08;149350.94;0;0
50000;41882;42772;14.06;27.56;7;0
200000;70000;73000;13051.6;74569.03;0;0
475000;60000;63000;5498.98;65202.28;0;0
315000;0;0;31810.74;122815.99;0;0
335000;32500;0;41626.01;381826.73;11;0
240000;45000;45000;34507.19;542826.97;0;1
315000;0;0;17681.7;310968.21;0;0
240000;45000;0;10382.93;104446.72;0;0
240000;45000;48000;24389.78;121263.48;0;0
216000;40500;49500;4186.65;63756.24;0;0
240000;45000;11614;8.33;152.82;0;1
240000;45000;45000;15549.78;177215.24;0;0
315000;0;0;12251.67;313714.35;0;1
315000;0;0;7067.63;92537.44;0;1
340000;70499;62691;11039.21;106024.5;18;0
350000;36308;0;3407.92;64360.58;1;0
315000;0;0;18079.36;337100.9;0;0
271532;0;0;9243.16;126096.04;0;0
376667;42001;0;1685.66;21702.25;0;1
205000;600761;587786;11927.58;90648.33;65;0
110000;35000;35864;6418.04;71484.56;0;0
647000;104640;159252;29674.03;309018.74;29;0
430000;50000;0;11442.85;192820.51;0;0
410000;138000;138000;24659.48;285401.01;0;0
410000;138000;138000;2983.29;30943.5;0;1
100000;35000;35000;8189.58;108972.49;0;0
315000;0;0;8867.96;110105.59;0;1
330001;21001;0;8428.92;93054.11;0;0
315000;0;0;23216.14;266414.92;0;1
280000;41401;47614;3170.93;31698.43;3;0
205000;10000;0;3590.39;49475.41;0;0
255000;45000;0;6195.2;120161.86;0;1
275000;37600;40600;6929.56;70056.74;0;0
340000;30000;0;8210.75;53244.71;0;0
315000;0;0;20674.26;207560.57;0;0
306000;40500;52500;57727.52;817282;0;0
140000;10000;0;6130.31;77304.14;0;0
216000;40500;49500;6032.94;138793.36;0;0
315000;0;0;16096.32;330978.54;0;0
375000;25000;25000;6864.53;61271.2;0;0
335000;0;0;10119.53;126635.93;0;1
433667;0;0;17066.06;365847.17;0;0
240000;45000;23323;19869.38;277041.25;0;0
256335;13334;0;3570.8;88432.29;0;1
283334;21001;0;20890.38;110782.88;0;0
331834;0;0;6341.81;163478.67;0;1
284834;0;0;1273.46;23592.28;0;0
100000;45000;45000;4726.23;73363.11;0;0
240000;210960;0;7283.09;58917.5;123;1
240000;49540;56569;26257.5;233550.88;6;0
205000;48000;0;7537.96;103636.18;0;0
314334;60000;60000;33164.79;577490.65;0;0
205000;93000;96000;9955.5;52322.12;0;1
390000;55000;58000;3462.02;42258.73;0;0
95000;0;0;6471.27;89035.62;1;0
250000;37600;0;0.17;0.57;0;0
425000;60000;60000;16086.26;322191.4;1;0
335000;0;0;37375.61;1079445.79;0;0
315000;0;0;11768.17;189119.8;0;0
250000;40000;43000;6924.16;141402.47;0;0
265000;113000;113000;7535.38;119785.08;7;0
255000;45000;48000;17466.15;229300.23;0;0
290000;50000;50000;3427.92;52621.76;0;0
100000;35000;35000;8054.46;98715.74;0;0
255000;55000;55000;10766.38;122203.56;0;1
245000;50000;0;4354.92;41033.41;0;0
205000;0;0;10741.7;126886.93;0;1
100000;0;0;1936.89;20863.34;0;0
195000;93000;93000;13300.58;124143.19;23;0
350001;24001;0;6340.77;104613.41;0;1
125000;0;0;11991.28;124776.16;0;0
105000;35000;35000;13067.37;119492.8;0;0
165000;0;0;3280.4;41103.89;0;1
525000;25000;25000;155290.96;2354774.25;0;0
315000;0;0;9202.16;95255.97;0;1
294999;48000;51000;13664.08;287842.31;0;1
320000;45000;48000;1201.52;13097.74;0;0
205000;93000;0;7411.65;89323.91;1;0
195000;45000;45000;6830.66;88783.9;42;0
290000;33653;38354;6001.6;85115.05;7;0
190000;48100;48100;3476.49;29267.46;0;1
300000;50000;106000;13365.48;94982.04;0;1
290000;50000;50000;3574.13;53442.56;0;0
280000;0;0;3222.13;56891.87;0;0
195000;0;0;15196.34;149038.23;0;1
340000;45000;45000;9113.89;172707.68;0;0
340000;46580;45000;35814.74;515937.32;11;0
340000;45000;0;85230.27;287460;0;0
340000;45000;45000;17695.93;131772.85;0;1
340000;45000;45000;7467.32;222209.91;0;1
331667;28501;0;747.87;30332.39;0;0
415000;40000;0;24711.94;431478.61;0;0
340000;45000;0;16415.25;187149.73;0;0
425000;0;0;7449.82;166201.52;0;0
240000;45000;0;13001.59;300433.04;0;0
335000;0;0;14349.17;140390.49;0;0
410001;33001;0;5758.11;97540.55;0;1
214500;124300;124300;6716.26;110201.07;7;0
209000;0;0;1284.72;25916.97;0;0
110000;55000;55000;10112.67;146221.28;0;0
225500;11000;0;12950.09;112644.45;0;0
220000;49500;0;2158.14;31699.37;0;0
456500;55000;0;18775.21;300995.34;1;0
110000;38500;0;31211.7;317667.31;0;0
330000;70000;0;18228.05;366547.38;0;0
484000;60000;0;22536.62;353554.85;0;0
1067000;80014;0;61176.5;1148364;29;0
660000;0;0;7401.47;207573.79;0;0
264000;49500;0;359.53;13324.13;0;0
280500;73055;0;6072.16;114155.56;29;0
319000;56564;0;12856.03;283346.33;3;0
319000;0;0;5244.57;64459.51;0;0
363000;49500;0;41279.21;559439.45;0;0
319000;154888;120866;8079.55;134555.42;48;0
506000;66000;69000;23502.91;354400.04;0;0
308000;33000;33000;13190.78;213188.28;0;0
346500;0;0;3004.12;74139.14;0;0
264000;49500;78000;8159.75;206995.23;0;0
264000;49500;52500;3105.42;56155.2;0;0
407000;29700;0;13725.92;277453.31;0;1
214500;60500;60500;2230.03;37242.62;0;1
489500;33000;55290;7681.39;143887.98;0;0
368500;25000;27500;11510.81;406114.05;10;0
385367;25000;0;6554.51;149129.85;0;0
340633;45000;49500;14525.9;257214.84;0;0
264000;45000;52500;17333.12;216835.93;0;0
264000;45000;49500;9891.9;80489.45;0;1
264000;45000;63750;11247.89;249223.94;0;0
346500;25000;0;29436.09;427122.52;0;0
363000;31960;0;2747.89;47413.05;1;1
275000;13500;0;5640.37;115311.03;0;1
240000;49500;0;7456.01;131206.56;0;0
280000;20000;0;6264.73;110954.39;0;0
244167;45000;48000;19766.56;352959.49;0;0
330000;160600;0;9206.6;118890.32;1;0
352000;63802;61176;8304.55;131319.43;1;0
283800;110948;0;4665.22;38652.44;49;0
313500;174608;0;4300.73;41748.28;28;0
