X1;X2;X3;X4;X5;X6
71496;0;8506;13841.31;155255.5;29
834166;151800;151800;47721.32;892455.94;0
274998;74800;77800;11635.92;170047.03;0
511500;55000;58000;15019.24;168090.92;0
1116500;35860;0;6062.29;83163.54;0
363000;27500;30500;28823.71;621485.48;0
467500;0;0;77870.41;736895.67;0
627000;22000;25000;29819.41;169950.19;0
338798;67980;89575;4256.91;64526.78;9
346500;0;0;29012.36;272196.05;0
346500;0;0;10987.97;131606.83;0
352000;0;0;18046.48;215484.82;0
352000;0;0;28683.37;480296.07;0
264000;49500;0;9073.15;151441.47;0
346500;0;0;39877.88;811681.13;0
308000;33000;0;10935.36;175764.77;0
308000;33000;0;5576.8;113178.61;0
385000;33000;33000;25024.12;286475.69;0
308000;33000;36000;3644.08;106380.94;0
368500;27500;0;3280.76;43860.41;0
368500;27500;45500;25995.55;439568.94;0
346500;0;0;14979.94;133704.81;0
423500;27500;27500;1753.7;34164.74;0
335500;27500;37500;6327.64;80850.14;0
266567;49500;59500;8190.03;185745.76;0
477033;0;0;11134.06;187926.72;0
184800;5500;0;10962.03;59344.55;0
308000;55000;58000;6740.26;91603.5;0
506000;228847;279378;11984.86;133331.66;42
264000;44000;44000;2364.11;29077.82;0
492800;66000;69000;10969.58;198132.5;0
346500;0;0;8557.31;164165.65;0
308000;33000;0;7437.8;122064.43;0
335500;27500;30500;7307.27;169284.04;0
412500;27500;27500;18741.42;211690.34;0
335500;27500;0;19098.2;178562.37;0
346500;0;0;24006.24;296198.74;0
456500;0;0;15383.32;191113.52;0
462000;22000;0;17093.13;298166.91;0
220000;11000;0;13197.75;150101.99;0
261800;35860;38860;5249.24;70469.3;0
355298;38500;74300;1554.11;36881.05;0
800800;66000;0;25597.83;626572.02;0
456500;71505;72252;11360.17;197372.78;11
363000;55000;55000;12768.79;163775.53;0
520300;66000;69000;7840.29;163968.59;0
346500;0;0;10206.28;115881.92;0
367766;22000;25000;10983.86;166067.8;3
395633;33000;33000;60650.67;969654.82;0
308000;0;0;259.4;5579.77;0
335500;18334;27500;11000.3;245370.44;1
335318;15584;0;9166.44;171767.31;0
280134;9533;0;15612.45;309088.52;0
913000;110000;0;5883.89;90699.47;0
528000;99000;52500;36810.4;397021.63;0
528000;121000;150500;6230.14;67023.87;0
792000;303600;151800;2340.38;36868.76;0
946000;0;0;13920.21;256813.11;0
726000;0;0;11604.63;58514.68;0
913000;0;0;106600.02;1485679.55;0
913000;132000;69000;8582.02;198471.16;0
737000;88000;81500;18501.03;102420.1;0
811064;0;0;24421.94;299535.28;0
671000;55000;60500;32876.13;448386.68;0
528000;99000;63750;11040.73;168381.44;0
330000;0;0;560.22;10087.23;0
748000;99000;49500;18805.51;267393.12;0
528000;99000;34936;19320.94;246383.44;0
1108800;0;0;14296.43;338209.1;0
781734;0;0;8016.27;112370.87;0
330000;0;0;2948.43;26981.49;0
0;0;0;0;0;0
880000;55000;55000;24498.48;466504.15;0
308000;33000;64000;15158.51;352572.63;0
231000;0;0;42093.22;286698.03;0
346500;0;0;13069.3;183813.4;0
261800;0;0;5456.37;87004.79;0
1950666;165002;0;12174.51;193742.13;23
407000;44000;47000;20123;257004.98;0
264000;44000;44000;18795.41;163701.58;0
349433;0;0;16147.46;259786.13;0
346500;0;0;17535.52;157722.37;0
